Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-08-09,,,,,
2024-08-12,,,,,
2024-08-13,,,,,
2024-08-14,,,,,
2024-08-15,,,,,
2024-08-16,,,,,
2024-08-19,,,,,
2024-08-20,,,,,
2024-08-21,,,,,
2024-08-22,,,,,
2024-08-23,,,,,
2024-08-26,,,,,
2024-08-27,,,,,
2024-08-28,,,,,
2024-08-29,,,,,
2024-08-30,,,,,
2024-09-03,,,,,
2024-09-04,,,,,
2024-09-05,,,,,
2024-09-06,223.45253677368163,174.4,161.4524070739746,411.5742752075195,212.72500228881836
2024-09-09,223.69767532348632,174.8229995727539,160.71783218383788,411.5956771850586,213.53850250244142
2024-09-10,223.82622299194335,175.46049957275392,160.04943313598633,411.9994125366211,214.97250213623047
2024-09-11,223.89547882080078,176.175,159.41254730224608,412.4853118896484,215.98750228881835
2024-09-12,223.94779510498046,177.0199996948242,159.14013137817383,413.02664337158205,217.40900192260742
2024-09-13,223.83718338012696,177.4650001525879,158.95945434570314,413.5018615722656,218.21650161743165
2024-09-16,223.35238723754884,177.85650024414062,158.72607192993163,414.14161529541013,218.7495018005371
2024-09-17,222.89898071289062,178.28950042724608,158.37086334228516,414.81865234375,219.00700149536132
2024-09-18,222.60899963378907,178.66699981689453,158.01469192504882,415.1174041748047,219.31200103759767
2024-09-19,222.7320671081543,179.15499954223634,157.84079208374024,415.8406677246094,220.34450073242186
2024-09-20,222.91492462158203,179.9284996032715,157.84114456176758,416.8209289550781,221.7240005493164
2024-09-23,222.89648895263673,180.77050018310547,157.66423950195312,417.65206451416014,223.20800018310547
2024-09-24,222.90595626831055,181.69350051879883,157.48238830566407,418.43150329589844,225.26100006103516
2024-09-25,222.82324676513673,182.66400070190429,157.33432083129884,419.33968658447264,227.6514991760254
2024-09-26,222.87456665039062,183.68200073242187,157.33909454345704,420.36915893554686,230.07499923706055
2024-09-27,222.77491607666016,184.47450103759766,157.45789642333983,421.10982513427734,232.78399887084962
2024-09-30,222.97421493530274,184.8660011291504,157.59175186157228,421.7639953613281,235.15999908447264
2024-10-01,223.14561157226564,185.31000137329102,158.0819564819336,422.3232223510742,237.53099822998047
2024-10-02,223.441072845459,185.8815010070801,158.56113967895507,422.7323287963867,239.01149826049806
2024-10-03,223.60499649047853,186.08500137329102,159.0010139465332,423.13745880126953,239.53599853515624
2024-10-04,223.90294952392577,186.84100112915038,159.81515502929688,423.85128021240234,241.50349884033204
2024-10-07,223.94181365966796,187.11100158691406,160.52615814208986,424.0411666870117,242.73149871826172
2024-10-08,224.22382278442382,187.26950149536134,161.30940704345704,424.06651611328124,243.64799880981445
2024-10-09,224.5666175842285,187.30200119018554,161.84253540039063,423.78914031982424,244.29399871826172
2024-10-10,224.8790184020996,187.28450088500978,162.21074142456055,423.23438720703126,244.74199905395508
2024-10-11,225.1306350708008,187.4010009765625,162.49872894287108,422.52503967285156,244.11749954223632
2024-10-14,225.87701187133788,187.53350067138672,162.84252166748047,421.91859130859376,243.73649978637695
2024-10-15,226.7270248413086,187.5740005493164,163.1484474182129,421.1028656005859,243.3215003967285
2024-10-16,227.27958221435546,187.59700088500978,163.41501083374024,420.37263946533204,243.02800064086915
2024-10-17,227.4430076599121,187.48000106811523,163.45437240600586,419.28053283691406,241.8765007019043
2024-10-18,227.7818176269531,187.34950103759766,163.44590225219727,418.43001251220704,240.9990005493164
2024-10-21,228.2805648803711,187.10900115966797,163.55651473999023,417.69779815673826,239.44150085449218
2024-10-22,228.70357818603514,186.89600067138673,163.69851608276366,417.6152801513672,237.6265007019043
2024-10-23,228.92230911254882,186.50500106811523,163.76279067993164,417.2419677734375,235.45800094604493
2024-10-24,229.07427520751952,186.2660011291504,163.7622917175293,416.9148834228516,235.77100143432617
2024-10-25,229.2546417236328,186.25900115966797,163.82806167602538,416.92134552001954,236.20750198364257
2024-10-28,229.2745719909668,186.36200103759765,163.87140884399415,416.73692626953124,236.2515022277832
2024-10-29,229.6462661743164,186.64700088500976,164.00543823242188,417.29664916992186,236.3265022277832
2024-10-30,229.81168518066406,187.0455009460449,164.43393249511718,418.0621673583984,236.75300140380858
2024-10-31,229.82364349365236,187.2675003051758,164.69551315307618,417.55563201904295,237.2125015258789
2024-11-01,229.62982482910155,187.83850021362304,164.90627212524413,417.27278900146484,237.15750122070312
2024-11-04,229.64576721191406,188.5875,165.21817626953126,417.21910400390624,237.25800094604492
2024-11-05,229.53017349243163,189.42649993896484,165.48523864746093,417.05755004882815,237.60500106811523
2024-11-06,229.19036788940429,190.52249984741212,166.2151741027832,417.19275817871096,239.9790008544922
2024-11-07,229.11264190673828,191.69250030517577,167.1454071044922,417.6694671630859,242.8860008239746
2024-11-08,229.09568634033204,192.6604995727539,167.89826354980468,417.97865905761716,248.05700073242187
2024-11-11,228.7557159423828,193.6254997253418,168.6650703430176,417.9224884033203,254.5990005493164
2024-11-12,228.28869247436523,194.68649978637694,169.47024154663086,418.13574066162107,260.04499969482424
2024-11-13,227.96920013427734,196.0470001220703,170.15384063720703,418.58710021972655,265.49049911499026
2024-11-14,227.78589935302733,197.24449996948243,170.78412704467775,419.09264221191404,270.0049987792969
2024-11-15,227.29998397827148,197.9254997253418,171.23603897094728,418.93556213378906,275.0059989929199
2024-11-18,226.8909652709961,198.55699920654297,171.79557266235352,418.78544158935546,281.00049819946287
2024-11-19,226.52580642700195,199.30249938964843,172.44230117797852,418.3022705078125,287.40199813842776
2024-11-20,226.45066757202147,200.21099929809571,173.0999900817871,417.84942016601565,293.82099838256835
2024-11-21,226.36105346679688,200.8109992980957,173.34463195800782,417.3009506225586,297.7789985656738
2024-11-22,226.296923828125,201.27549896240234,173.31921997070313,416.7881851196289,301.9474983215332
2024-11-25,226.28328170776368,201.92849884033203,173.3655563354492,416.44212341308594,305.75149765014646
2024-11-26,226.36542282104492,202.77999877929688,173.33765411376953,416.28786010742186,309.6869987487793
2024-11-27,226.61895523071288,203.4304992675781,173.07706985473632,415.85572204589846,313.45400009155276
2024-11-29,227.2009651184082,204.50499954223633,172.9694480895996,416.74837799072264,318.2194999694824
2024-12-02,228.04517669677733,205.1440002441406,172.97941360473632,417.8157623291016,323.625
2024-12-03,229.08686370849608,206.0270004272461,173.08404541015625,418.9890502929687,329.0540008544922
2024-12-04,230.07475891113282,206.96000061035156,173.31473388671876,420.32301940917966,334.3785003662109
2024-12-05,231.10052261352538,207.63300094604492,173.1219108581543,421.48253021240237,338.42649993896487
2024-12-06,231.87914352416993,208.48200073242188,172.82096786499022,422.4283874511719,343.04199981689453
2024-12-09,232.86626205444335,209.37750091552735,172.68250274658203,423.6399322509766,346.47050018310546
2024-12-10,234.0404296875,210.28750076293946,172.93323287963867,424.9426727294922,349.0199996948242
2024-12-11,235.15075073242187,211.3550003051758,173.6309783935547,426.27779388427734,353.83399963378906
2024-12-12,236.29000244140624,212.09850006103517,174.29365158081055,427.53343505859374,358.2270004272461
2024-12-13,237.28310623168946,212.89750061035156,175.01399917602538,428.59100646972655,364.47950134277346
2024-12-16,238.58197250366212,214.41350021362305,176.22949981689453,430.45478973388674,371.59450073242186
2024-12-17,239.85190811157227,215.88600006103516,177.24313735961914,432.4237457275391,378.65050048828124
2024-12-18,240.83802947998046,216.68150024414064,177.76609649658204,433.44156341552736,383.35700073242185
2024-12-19,241.87502822875976,217.70199966430664,178.40116806030272,434.5557800292969,388.0640014648437
2024-12-20,243.17040405273437,219.02899932861328,179.59693603515626,435.73773803710935,392.13500061035154
2024-12-23,244.43734893798828,220.4259994506836,181.09632263183593,436.646745300293,396.03700103759763
2024-12-24,245.7008026123047,221.80599975585938,182.52554168701172,437.66981201171876,402.221501159668
2024-12-26,246.8959197998047,222.7654998779297,183.85607681274413,438.1738739013672,408.01650085449216
2024-12-27,247.92643356323242,223.66599960327147,185.03946533203126,438.54943084716797,412.95500030517576
2024-12-30,248.66814422607422,224.33649978637695,186.16098556518554,438.61766662597654,416.56750030517577
2024-12-31,249.20834197998047,224.770499420166,187.0591781616211,438.1454818725586,418.9050003051758
2025-01-02,249.2681983947754,225.10949935913087,187.97132949829103,437.5168975830078,420.2979995727539
2025-01-03,249.28565673828126,225.4109992980957,188.8502326965332,436.8160919189453,422.92350006103516
2025-01-06,249.3834213256836,225.76399917602538,190.06873474121093,436.080419921875,425.00149993896486
2025-01-07,249.35199813842775,225.51799926757812,191.11526184082032,435.024479675293,425.2584991455078
2025-01-08,249.14998474121094,225.31999969482422,192.0420715332031,433.9555892944336,425.51599884033203
2025-01-10,248.60529861450195,225.0150001525879,192.38476028442383,432.741259765625,425.20349884033203
2025-01-13,248.00225372314452,224.42500076293945,192.16577835083007,431.1573486328125,424.1304992675781
2025-01-14,247.27001953125,223.8645004272461,192.05104904174806,429.4693405151367,423.04349822998046
