Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-08-09,,,,,
2024-08-12,,,,,
2024-08-13,,,,,
2024-08-14,,,,,
2024-08-15,,,,,
2024-08-16,,,,,
2024-08-19,,,,,
2024-08-20,,,,,
2024-08-21,,,,,
2024-08-22,,,,,
2024-08-23,,,,,
2024-08-26,,,,,
2024-08-27,,,,,
2024-08-28,,,,,
2024-08-29,,,,,
2024-08-30,,,,,
2024-09-03,,,,,
2024-09-04,,,,,
2024-09-05,,,,,
2024-09-06,,,,,
2024-09-09,,,,,
2024-09-10,,,,,
2024-09-11,,,,,
2024-09-12,,,,,
2024-09-13,,,,,
2024-09-16,,,,,
2024-09-17,,,,,
2024-09-18,,,,,
2024-09-19,,,,,
2024-09-20,,,,,
2024-09-23,,,,,
2024-09-24,,,,,
2024-09-25,,,,,
2024-09-26,,,,,
2024-09-27,,,,,
2024-09-30,,,,,
2024-10-01,,,,,
2024-10-02,,,,,
2024-10-03,,,,,
2024-10-04,,,,,
2024-10-07,,,,,
2024-10-08,,,,,
2024-10-09,,,,,
2024-10-10,,,,,
2024-10-11,,,,,
2024-10-14,,,,,
2024-10-15,,,,,
2024-10-16,,,,,
2024-10-17,,,,,
2024-10-18,,,,,
2024-10-21,,,,,
2024-10-22,,,,,
2024-10-23,,,,,
2024-10-24,,,,,
2024-10-25,,,,,
2024-10-28,,,,,
2024-10-29,,,,,
2024-10-30,,,,,
2024-10-31,,,,,
2024-11-01,,,,,
2024-11-04,,,,,
2024-11-05,,,,,
2024-11-06,,,,,
2024-11-07,,,,,
2024-11-08,,,,,
2024-11-11,,,,,
2024-11-12,,,,,
2024-11-13,,,,,
2024-11-14,,,,,
2024-11-15,,,,,
2024-11-18,,,,,
2024-11-19,,,,,
2024-11-20,,,,,
2024-11-21,,,,,
2024-11-22,,,,,
2024-11-25,,,,,
2024-11-26,,,,,
2024-11-27,,,,,
2024-11-29,,,,,
2024-12-02,,,,,
2024-12-03,,,,,
2024-12-04,,,,,
2024-12-05,,,,,
2024-12-06,,,,,
2024-12-09,,,,,
2024-12-10,,,,,
2024-12-11,,,,,
2024-12-12,,,,,
2024-12-13,,,,,
2024-12-16,,,,,
2024-12-17,,,,,
2024-12-18,,,,,
2024-12-19,,,,,
2024-12-20,,,,,
2024-12-23,,,,,
2024-12-24,,,,,
2024-12-26,,,,,
2024-12-27,,,,,
2024-12-30,,,,,
2024-12-31,,,,,
2025-01-02,,,,,
2025-01-03,,,,,
2025-01-06,,,,,
2025-01-07,,,,,
2025-01-08,,,,,
2025-01-10,,,,,
2025-01-13,,,,,
2025-01-14,,,,,
2025-01-15,,,,,
2025-01-16,,,,,
2025-01-17,,,,,
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,,,,,
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,,,,,
2025-05-23,,,,,
2025-05-27,,,,,
2025-05-28,225.29996505737304,200.99050018310547,170.64695533752442,414.8795681762695,300.85250045776365
2025-05-29,225.22354789733888,201.18430015563965,170.6908113861084,415.15831451416017,301.64465042114256
2025-05-30,225.14395774841307,201.37535011291504,170.74093490600586,415.44154083251954,302.3895003509522
2025-06-02,225.0499829864502,201.55745010375978,170.76821990966798,415.6970910644531,303.0638003540039
2025-06-03,224.9616162109375,201.73550010681151,170.8001308441162,415.94349975585936,303.7782502746582
2025-06-04,224.8560520172119,201.88370010375976,170.8367527770996,416.16995162963866,304.3678002166748
2025-06-05,224.73291107177735,202.03795013427734,170.86591384887694,416.4281788635254,304.710700302124
2025-06-06,224.62701736450197,202.21470016479492,170.90393112182616,416.68469528198244,305.0728003692627
2025-06-09,224.5056844329834,202.40520011901856,170.95251075744628,416.93680694580075,305.51020027160644
2025-06-10,224.3909996032715,202.59270011901856,171.02025840759276,417.18304916381834,306.0243002319336
2025-06-11,224.26618209838867,202.7780500793457,171.0919566345215,417.4804914855957,306.60315017700196
2025-06-12,224.1319549560547,202.95905014038087,171.1463486480713,417.8030198669434,307.0971000671387
2025-06-13,223.98228385925293,203.14205017089844,171.1929037475586,418.12240234375,307.6576000213623
2025-06-16,223.8382275390625,203.35695022583008,171.25732322692872,418.46094512939453,308.257200012207
2025-06-17,223.6879443359375,203.57705024719237,171.32674850463866,418.8100933837891,308.8102000427246
2025-06-18,223.52591888427733,203.77905029296875,171.38834800720215,419.1577151489258,309.389049987793
2025-06-20,223.3899295806885,203.93500030517578,171.40858604431153,419.47115371704103,309.92930000305176
2025-06-23,223.2874811553955,204.0961003112793,171.451529006958,419.86586822509764,310.6196999359131
2025-06-24,223.18859916687012,204.29330032348633,171.50690002441405,420.283816986084,311.22499992370604
2025-06-25,223.08839393615722,204.4638003540039,171.5778900909424,420.7151010131836,311.7118998718262
2025-06-26,222.9931613922119,204.6924503326416,171.69462783813478,421.2055404663086,312.287149887085
2025-06-27,222.89788040161133,204.93195037841798,171.84633041381835,421.66844665527344,312.8239498901367
2025-06-30,222.827035446167,205.13115036010743,171.9867820739746,422.0965495300293,313.2813999176025
2025-07-01,222.75673515319824,205.31085037231446,172.11282752990724,422.4539097595215,313.6442998504639
2025-07-02,222.7089867401123,205.47545036315918,172.2352847290039,422.78678527832034,314.07349983215335
2025-07-03,222.66813369750977,205.6600503540039,172.3483903503418,423.14056533813476,314.49879989624026
2025-07-07,222.64007232666015,205.85295036315918,172.44480651855469,423.48501724243164,314.8345999145508
2025-07-08,222.60996925354004,206.01535034179688,172.52279472351074,423.8050299072266,315.18429992675783
2025-07-09,222.56608444213867,206.19590034484864,172.60964149475097,424.1810664367676,315.52769996643065
2025-07-10,222.48779289245604,206.35785034179688,172.68987907409667,424.50778228759765,315.8574499511719
2025-07-11,222.40658966064453,206.5249503326416,172.7757420349121,424.86069854736326,316.23375
2025-07-14,222.3213060760498,206.68400032043456,172.8771245574951,425.22086334228516,316.5682499694824
2025-07-15,222.2339882659912,206.8459503173828,172.9785147857666,425.61660202026366,316.8507999420166
2025-07-16,222.15690292358397,206.99925033569335,173.08874099731446,425.99672637939454,317.17405006408694
2025-07-17,222.07338775634764,207.16285034179688,173.19583892822266,426.4112274169922,317.50000007629393
2025-07-18,221.99432731628417,207.35365036010742,173.30425819396973,426.83383255004884,317.84595008850096
2025-07-21,221.89580810546875,207.56850036621094,173.42841072082518,427.24515411376956,318.18025001525876
2025-07-22,221.84071998596193,207.7802003479004,173.55308319091796,427.68029586791994,318.55069999694825
2025-07-23,221.78154182434082,207.99785034179686,173.67783584594727,428.1361340332031,318.9683999633789
2025-07-24,221.7259442138672,208.24920028686523,173.8122885131836,428.61995513916014,319.2915998840332
2025-07-25,221.66531639099122,208.4738503265381,173.94581214904784,429.1203125,319.6214998626709
2025-07-28,221.63099899291993,208.73380027770997,174.09666442871094,429.6470300292969,320.04529983520507
2025-07-29,221.56245315551757,208.97525024414062,174.25639122009278,430.14839797973633,320.4287998962402
